best configuration: {'prev_buffer': 0.2, 'critical': 60, 'weak': 5, 'next_buffer': 0.2, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 60, 'weak': 5, 'next_buffer': 0.9, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 60, 'weak': 5, 'next_buffer': 0.2, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 60, 'weak': 5, 'next_buffer': 0.9, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 90, 'weak': 5, 'next_buffer': 0.2, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 90, 'weak': 5, 'next_buffer': 0.9, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 90, 'weak': 5, 'next_buffer': 0.2, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 90, 'weak': 5, 'next_buffer': 0.9, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 60, 'weak': 5, 'next_buffer': 0.2, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 60, 'weak': 5, 'next_buffer': 0.9, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 60, 'weak': 5, 'next_buffer': 0.2, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 60, 'weak': 5, 'next_buffer': 0.9, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 90, 'weak': 5, 'next_buffer': 0.2, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 90, 'weak': 5, 'next_buffer': 0.9, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 90, 'weak': 5, 'next_buffer': 0.2, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 90, 'weak': 5, 'next_buffer': 0.9, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 60, 'weak': 15, 'next_buffer': 0.2, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 60, 'weak': 15, 'next_buffer': 0.9, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 60, 'weak': 15, 'next_buffer': 0.2, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 60, 'weak': 15, 'next_buffer': 0.9, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 90, 'weak': 15, 'next_buffer': 0.2, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 90, 'weak': 15, 'next_buffer': 0.9, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 90, 'weak': 15, 'next_buffer': 0.2, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 90, 'weak': 15, 'next_buffer': 0.9, 'strong': 25}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 60, 'weak': 15, 'next_buffer': 0.2, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 60, 'weak': 15, 'next_buffer': 0.9, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 60, 'weak': 15, 'next_buffer': 0.2, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 60, 'weak': 15, 'next_buffer': 0.9, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 90, 'weak': 15, 'next_buffer': 0.2, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.2, 'critical': 90, 'weak': 15, 'next_buffer': 0.9, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 90, 'weak': 15, 'next_buffer': 0.2, 'strong': 50}   ->  0
best configuration: {'prev_buffer': 0.9, 'critical': 90, 'weak': 15, 'next_buffer': 0.9, 'strong': 50}   ->  0
